Bacteria,CV_MCC_mean,CV_MCC_std,CV_AUC_mean,CV_AUC_std,CV_GMean_mean,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1
Ab,0.55119060098144,0.043379938285688535,0.8274644852003343,0.019734800482281656,0.6672123116761309,0.4211704794204228,0.7763199661411492,0.5982020817504043,0.36538461538461536,0.9793672627235214,0.938382541720154,0.441860465116279
Bs,0.5849244276744037,0.026109642130112357,0.8460669472485314,0.012745819958866854,0.7574075813512036,0.56744364401111,0.8524697762895188,0.7616472862751366,0.6437768240343348,0.9010989010989011,0.8241335044929397,0.6864988558352402
Ec,0.5423797464510264,0.06303914319085212,0.8256835274603864,0.025886925738611403,0.7097871360361637,0.6027949858958535,0.8580009693948207,0.7632184638011922,0.9669540229885057,0.6024096385542169,0.9281129653401797,0.9600570613409416
Ef,0.541323820769642,0.05022552433064105,0.8117597980664575,0.02866580315822829,0.6864556982925063,0.4704147681557658,0.7974992305324715,0.6968689593949317,0.5157894736842106,0.9415204678362573,0.889602053915276,0.532608695652174
Kp,0.5926801906490623,0.014119987020340681,0.8367826697193989,0.022812272821457896,0.7290491421988233,0.5096934581510043,0.8005740464756859,0.6803124069291198,0.48148148148148145,0.9612518628912071,0.8947368421052632,0.5591397849462365
Ml,0.6703345434316799,0.03078662988377578,0.8942982227011026,0.02054782895557674,0.782254690032526,0.690463302388457,0.9149230130334781,0.8198673482302467,0.6923076923076923,0.9709302325581395,0.938382541720154,0.7241379310344828
Pa,0.587538358015018,0.020978106450746117,0.8411038856502728,0.015487364952886004,0.7843541818906278,0.6172878600350441,0.8533240905789925,0.8059329744661654,0.7647058823529411,0.8493827160493828,0.8087291399229781,0.7933425797503467
Sa,0.5597007786455078,0.027358898386103475,0.8400780278765764,0.01662758874026526,0.7426986190816829,0.5059033565016551,0.8376318039327444,0.6923635902636902,0.9371900826446281,0.5114942528735632,0.8421052631578947,0.9021479713603818
Se,0.6245495018693273,0.02824534123412488,0.8597787776475732,0.026063986162532436,0.7759059800309378,0.6539690984903594,0.9017013327948304,0.8156635008924985,0.7125,0.9337641357027464,0.8883183568677792,0.7238095238095238
St,0.655300772901699,0.025182814437185938,0.8889385536504595,0.026622994113036695,0.807642172646436,0.687001873764974,0.8804740701938187,0.8058520896302532,0.6695652173913044,0.9698795180722891,0.9255455712451861,0.7264150943396227
