Bacteria,CV_MCC_mean,CV_MCC_std,CV_AUC_mean,CV_AUC_std,CV_GMean_mean,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1
Ab,0.5471334947123395,0.0358827275419057,0.8207747284162379,0.019398777432991798,0.6403405138598508,0.4443660824697082,0.8040154481007301,0.5352360427098714,0.28846153846153844,0.9931224209078404,0.9460847240051348,0.4166666666666667
Bs,0.5996681489152222,0.024217672362797274,0.8519331961151501,0.013510906472258616,0.7708502956121307,0.5543262305957921,0.8595560376676257,0.7837577952775053,0.7339055793991416,0.836996336996337,0.8061617458279846,0.693711967545639
Ec,0.5335914511511961,0.06797474475859816,0.7995795807310083,0.03061807670214099,0.6558671361038483,0.5197495185950022,0.8579663481512256,0.7586915025302661,0.9367816091954023,0.6144578313253012,0.9024390243902439,0.9449275362318841
Ef,0.5595574523055566,0.02913086206654493,0.8139652784964104,0.027351415997483964,0.6614124682385424,0.43359800884350935,0.7807171437365343,0.654834990105086,0.45263157894736844,0.9473684210526315,0.8870346598202824,0.4942528735632184
Kp,0.5914755328212051,0.04361352505706365,0.8254157957264837,0.027894375785279237,0.7112369364809595,0.4718373810525297,0.778495335872385,0.664510505609968,0.46296296296296297,0.9538002980625931,0.8857509627727856,0.5291005291005291
Ml,0.6741056246292949,0.03461871118242557,0.8962198387044111,0.02634785138038711,0.7850988573350492,0.570497471537556,0.8989426271403015,0.7225136255996158,0.5384615384615384,0.9694767441860465,0.9191270860077022,0.608695652173913
Pa,0.5744303409650671,0.02493023114213922,0.8390817796159233,0.017072743486277714,0.77270416640235,0.5312025025158926,0.8395325807090511,0.765582172328125,0.7834224598930482,0.7481481481481481,0.7650834403080873,0.7620286085825747
Sa,0.562201019792876,0.0306096805794083,0.8334327597085581,0.018465955383763527,0.7310107083582239,0.5230208781207293,0.8194452360596562,0.6825666390037795,0.9537190082644628,0.4885057471264368,0.8498074454428755,0.9079464988198268
Se,0.6346429212125134,0.017433423695867055,0.870255934050227,0.017372561896146672,0.7716202575592112,0.6572026137962623,0.8831785137318257,0.8163687872334305,0.7125,0.9353796445880452,0.889602053915276,0.7261146496815287
St,0.6745207087003208,0.0317491162835414,0.8877957157831915,0.017574137277101942,0.7855088999921203,0.6365637685351381,0.9030120481927711,0.7856925156685532,0.6434782608695652,0.9593373493975904,0.9127086007702182,0.6851851851851851
